listing_id,url,source,date_posted,date_scraped,title_raw,brand,model,trim,year,mileage_km,fuel_type,transmission,fiscal_power_cv,customs_status,condition,owners_count,doors_count,seller_type,city,region,price_mad,photos_count,description_raw
77643585,https://www.avito.ma/fr/maarif/voitures_d_occasion/Bentley_Bentayga_édition_platinium_58150666.htm,avito,2026-07-17,2026-09-08 06:58:11,Bentley Bentayga édition platinium,Bentley,Bentayga,,2018.0,100000.0,Diesel,Automatique,16 CV,WW au Maroc,Excellent,1ère main,5.0,Professionnel,Casablanca,Casablanca-Settat,950000.0,12.0,"🚘 À vendre chez AUTO REDA 🚘

Bentley Bentayga édition platinium – Excellent état

AUTO REDA vous propose une Bentley Bentayga édition platinium en très bon état, avec un service complet et soigné.


💼 vidange gratuite, frais de dossier offerts et changement de plaquettes de frein inclus
💰 Prix négociable, avec facilité de paiement et possibilité de crédit (codifié avec tous les organismes de crédit du Maroc)
🔁 Reprise possible de votre ancien véhicule (jamais accidenté)
🔑 AUTO REDA – L’excellence du service après-vente

📍 Disponible à Casablanca – Maarif, 26 Rue Koutaib Ibnou Mouslim

📞 Contactez-nous dès maintenant pour plus d’informations
🙏 Soyez les bienvenus chez AUTO REDA"
77399697,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Dacia_Sandero_Diesel_Manuelle_2023_à_Agadir_57921670.htm,avito,2026-07-17,2026-09-08 06:58:11,Dacia Sandero Diesel Manuelle 2023 à Agadir,Dacia,Sandero,,2023.0,90147.0,Diesel,Manuelle,6 CV,WW au Maroc,Excellent,1ère main,5.0,Professionnel,Agadir,Souss-Massa,145000.0,8.0,"GLOBAL OCCAZ vous propose une DACIA SANDERO, un véhicule fiable, économique et parfaitement entretenu, alliant confort, praticité et simplicité d’utilisation.

Détails du véhicule :

Marque : Dacia
Modèle : Sandero
Mise en circulation : 2023
Puissance fiscale : 6CV
Boîte de vitesses : Manuelle
Énergie : Diesel
Kilométrage : 90 147 km

Ce véhicule est prêt à prendre la route et vous garantit une expérience de conduite agréable, économique et sécurisée, idéale pour une utilisation quotidienne.

Véhicule expertisé, contrôlé et garanti par GLOBAL OCCAZ.

Ne laissez pas passer cette opportunité 

Contactez-nous dès maintenant pour réserver un essai ou obtenir plus d’informations."
77640450,https://www.avito.ma/fr/maarif/voitures_d_occasion/Maserati_Levante_58147379.htm,avito,2026-07-17,2026-09-08 06:58:11,Maserati Levante,Maserati,Levante,,2018.0,100000.0,Diesel,Automatique,12 CV,WW au Maroc,Excellent,1ère main,5.0,Professionnel,Casablanca,Casablanca-Settat,320000.0,8.0,"🚘 À vendre chez AUTO REDA 🚘

MASERATI LEVANTE – Excellent état

AUTO REDA vous propose une MASERATI LEVANTE en très bon état, avec un service complet et soigné.

💼 Vidange gratuite, frais de dossier offerts et changement de plaquettes de frein inclus
💰 Prix négociable, avec facilité de paiement et possibilité de crédit (codifié avec tous les organismes de crédit du Maroc)
🔁 Reprise possible de votre ancien véhicule (jamais accidenté)
🔑 AUTO REDA – L’excellence du service après-vente

📍 Disponible à Casablanca – Maarif, 26 Rue Koutaib Ibnou Mouslim

📞 Contactez-nous dès maintenant pour plus d’informations
🙏 Soyez les bienvenus chez AUTO REDA"
77781650,https://www.avito.ma/fr/imintanoute/voitures_d_occasion/Renault_4L_GTL_58280101.htm,avito,2026-07-17,2026-09-08 06:58:11,Renault 4L GTL,Renault,R 4,GTL,1993.0,184650.0,Essence,Manuelle,6 CV,Dédouanée,Excellent,,,Particulier,Imintanoute,Marrakech-Safi,38000.0,8.0,"Renault 4L GTL 
Moteur Cléon 
R4 Clan"
76487553,https://www.avito.ma/fr/maarif/voitures_d_occasion/MERCEDES_BENZ_CLASSE_E_AMG_LINE_57089831.htm,avito,2026-07-17,2026-09-08 06:58:11,MERCEDES-BENZ CLASSE E AMG LINE,Mercedes-Benz,E 200,AMG LINE,2022.0,85000.0,Diesel,Automatique,12 CV,Importée neuve,Excellent,1ère main,3.0,Professionnel,Casablanca,Casablanca-Settat,620000.0,16.0,"🚘 À vendre chez AUTO REDA 🚘
MERCEDES-BENZ CLASSE E AMG LINE – Excellent état

AUTO REDA vous propose une MERCEDES-BENZ CLASSE E CABRIOLET AMG LINE en très bon état, avec un service complet et soigné.

💼 vidange gratuite, frais de dossier offerts et changement de plaquettes de frein inclus
💰 Prix négociable, avec facilité de paiement et possibilité de crédit (codifié avec tous les organismes de crédit du Maroc)
🔁 Reprise possible de votre ancien véhicule (jamais accidenté)
🔑 AUTO REDA – L’excellence du service après-vente

📍 Disponible à Casablanca – Maarif, 26 Rue Koutaib Ibnou Mouslim

📞 Contactez-nous dès maintenant pour plus d’informations
🙏 Soyez les bienvenus chez AUTO REDA"
76734568,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/BMW_X5_xDrive_45e_Pack_M_57306237.htm,avito,2026-07-17,2026-09-08 06:58:11,BMW X5 xDrive 45e Pack M,BMW,X5,xDrive,2022.0,106684.0,Hybride,Automatique,17 CV,WW au Maroc,Très bon,1ère main,5.0,Professionnel,Casablanca,Casablanca-Settat,469000.0,9.0,"otoclic, la meilleure adresse d'achat et de vente de voitures et véhicules d'occasion vous propose une voiture de première main en excellent état, mise en circulation en 2022, bien entretenue, affiche un faible kilométrage réel et dispose de la majorité des options de sa gamme. L'acheteur peut visiter et vérifier la voiture dans notre showroom otoclic en toute transparence et toute confiance.
Les services otoclic sont :
Rachat de votre ancienne voiture d'occasion avec un bon prix
Vente de voiture d'occasion avec le juste prix du marché,
Dépôt de vente,
Plusieurs solutions de financement de votre voiture,
Jusqu'à 6 mois de garantie,
Satisfait ou remboursé,
Plusieurs formules d'assurance,
Prise en charge des démarches administratives,
Service après-vente,
Reprise en moins de 2 heures,
otoclic achetez et vendez votre voiture en toute confiance."
77781641,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Dacia_Logan_Diesel_58280087.htm,avito,2026-07-17,2026-09-08 06:58:11,Dacia Logan Diesel,Dacia,Logan,,2020.0,140000.0,Diesel,Manuelle,6 CV,WW au Maroc,Très bon,,5.0,Particulier,Tanger,Tanger-Tétouan-Al Hoceima,107000.0,5.0,"Dacia Logan Diesel encore neuve, jamais accidentée, climatisée, moteur bien, pneus neufs, régulateur de vitesse."
77242852,https://www.avito.ma/fr/ain_amiyer/voitures_d_occasion/Audi_A3_S_Line_Sportback_S_Tronic_57777247.htm,avito,2026-07-17,2026-09-08 06:58:11,Audi A3 S-Line Sportback S-Tronic,Audi,A3,S-Line,2015.0,230000.0,Diesel,Automatique,6 CV,Dédouanée,Excellent,,5.0,Particulier,Fès,Fès-Meknès,195000.0,4.0,"Vends Audi A3 S-Line Sportback, dédouanée en 2020, Modèle en 2015 excellent état
Moteur : 1.6 L TDI
- Jantes aluminium
- Airbags
- Climatisation
- Système de navigation GPS
- Sièges cuir
- Radar et caméra de recul
- Vitres électriques
- ABS ESP
- Régulateur et limiteur de vitesse
- CD MP3 Bluetooth
- Ordinateur de bord
- Verrouillage centralisé à distance
- Marque Audi
- Modèle A3
- Année-Modèle 2015
- Puissance fiscale 6 CV
- Carburant Diesel
- Boite de vitesses Automatique
- Origine Dédouanée
- Nombre de portes 5
Contactez-moi pour plus d'informations."
77466529,https://www.avito.ma/fr/2_mars/voitures_d_occasion/Nissan_Tiida_Automatique_57983466.htm,avito,2026-07-17,2026-09-08 06:58:11,Nissan Tiida Automatique,Nissan,Tiida,,2007.0,189000.0,Essence,Automatique,8 CV,WW au Maroc,Très bon,,5.0,Professionnel,Casablanca,Casablanca-Settat,53000.0,5.0,Voiture en bon état
74875688,https://www.avito.ma/fr/2_mars/voitures_d_occasion/Kia_serato_diesel_55731615.htm,avito,2026-07-17,2026-09-08 06:58:11,Kia serato diesel,Kia,Cerato,,2009.0,290000.0,Diesel,Manuelle,6 CV,WW au Maroc,Très bon,,5.0,Professionnel,Casablanca,Casablanca-Settat,67000.0,7.0,Voiture en bon état
77781677,https://www.avito.ma/fr/fès/voitures_d_occasion/Renault_Mégane_4_à_Vendre_58280120.htm,avito,2026-07-17,2026-09-08 06:58:11,Renault Mégane 4 à Vendre,Renault,Megane,,2020.0,488105.0,Diesel,Automatique,7 CV,WW au Maroc,Bon,,,Particulier,Fès,Fès-Meknès,175000.0,4.0,"Je propose à la vente une voiture Renault Mégane modèle 2020 en bon état.
- Marque : Renault
- Modèle : Mégane
- Année modèle : 2020
- Type de carburant : Diesel
- Boîte de vitesses : Automatique
- Droits de douane : Achetée au Maroc
Contactez-moi pour plus de détails."
