listing_id,url,source,date_posted,date_scraped,title_raw,brand,model,trim,year,mileage_km,fuel_type,transmission,fiscal_power_cv,customs_status,condition,owners_count,doors_count,seller_type,city,region,price_mad,photos_count,description_raw
635396,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/635396/jeep-cherokee.html,moteur,2026-09-08,2026-09-08 06:54:38,jeep cheerokee,Jeep,Cherokee,,2020.0,114000.0,Diesel,Automatique,,,,,,Particulier,Beni,,178000.0,1.0,"🚙 À vendre : Jeep Cherokee limited fin 2019 – 2.0 L Diesel 4x4 Automatique 9 
📍 Lieu : … ( souk se..."
629648,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/629648/porsche-panamera.html,moteur,2026-09-08,2026-09-08 06:54:38,Porsche panamera,Porsche,Panamera,,2016.0,170000.0,Diesel,Automatique,,,,,,Particulier,Temara,,250000.0,1.0,"porsche panamera diesel full option 
possibilité de reprise 
Audi Mercedes Blw"
489470,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/489470/bentley-continental.html,moteur,2026-09-08,2026-09-08 06:54:38,CONTINENTAL GT SPEED V8 HYBRI,Bentley,Continental,,2026.0,0.0,Hybride,Automatique,,,,,,Particulier,Oujda,,,1.0,"BENTLEY CONTINENTAL GT SPEED V8 HYBRID
NEUVE 0 KM ORIGINE EUROPE

Bentley Continental GT Speed V8 Hy..."
490295,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/490295/autre-autre.html,moteur,2026-09-08,2026-09-08 06:54:38,Saxdor 320 Gto,Autre,Autre,,2026.0,0.0,,,,,,,,Particulier,Oujda,,,1.0,"À vendre, un bateau neuf Saxdor 320 Gto, disponible à Tetouan 
Occasion 06/2026
45h
Pour plus d&#039;info..."
494207,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/494207/honda-jazz.html,moteur,2026-09-08,2026-09-08 06:54:38,Honda Jazz Essence Automatique 2009 à Casablanca,Honda,Jazz,,2009.0,90000.0,Essence,Automatique,,,,,,Particulier,Casablanca,,90000.0,1.0,Honda jazz n9iya 2009 automatique smasriya blach merci
480757,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480757/mercedes-benz-classe-cla.html,moteur,2026-09-08,2026-09-08 06:54:38,Mercedes Benz CLA 250 Plus EQ Technologie AMG Line,Mercedes,Benz classe cla,,2025.0,6500.0,Electrique,Automatique,,,,,,Particulier,Oujda,,,1.0,"Je propose à la vente une Mercedes Benz CLA 250 Plus EQ Technologie AMG Line neuve, importée neuve,..."
491747,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/491747/porsche-autre.html,moteur,2026-09-08,2026-09-08 06:54:38,Porsche 911 Carrera importé neuf,Porsche,Autre,,2026.0,60.0,Essence,Automatique,,,,,,Particulier,Oujda,,,1.0,"🏁 Porsche 911 Carrera – Configuration Exclusive – Neuve

📍 Disponible chez C’Zam Auto – Oujda

Nou..."
657689,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/657689/dacia-dokker.html,moteur,2026-09-08,2026-09-08 06:54:38,14 سيارة مليحة اللهم بارك يارب,Dacia,Dokker,,2018.0,128000.0,Diesel,Manuelle,,,,,,Particulier,Mohammedia,,135000.0,1.0,"للبيع سيارة داسيا دوكر موديل 2018 بحالة ممتازة.
- تكييف
- رادار خلفي
- كاميرا خلفية
- نوافذ كهربائية..."
657688,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/657688/jeep-wrangler.html,moteur,2026-09-08,2026-09-08 06:54:38,Jeep sahara wrangler,Jeep,Wrangler,,2015.0,162000.0,Diesel,Automatique,,,,,,Particulier,Marrakech,,300000.0,1.0,"Jeep Wrangler Sahara 2015 – Excellent État &amp; Équipée
Vend magnifique Jeep Wrangler Sahara année 2015..."
494356,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/494356/land-rover-range-rover-evoque.html,moteur,2026-09-08,2026-09-08 06:54:38,Land Rover Range Rover Evoque Diesel Automatique,Land,Rover range rover evoque,,2017.0,190.0,Diesel,Automatique,,,,,,Particulier,Casablanca,,,1.0,"À vendre Land Rover Range Rover Evoque Diesel Automatique en excellent état.
- Année-Modèle : 2017
-..."
