listing_id,url,source,date_posted,date_scraped,title_raw,brand,model,trim,year,mileage_km,fuel_type,transmission,fiscal_power_cv,customs_status,condition,owners_count,doors_count,seller_type,city,region,price_mad,photos_count,description_raw
44868,https://www.wandaloo.com/occasion/jaguar-xe-diesel-occasion-rabat-maroc/44868.html,wandaloo,2026-09-08,2026-09-08 06:54:34,JAGUAR XE,Jaguar,Xe,,2018.0,187000.0,Diesel,,8,,,,,Particulier,Rabat,,200000.0,1.0,
44867,https://www.wandaloo.com/occasion/toyota-corolla-sport-hybride-occasion-fes-maroc/44867.html,wandaloo,2026-09-08,2026-09-08 06:54:34,TOYOTA Corolla Sport,Toyota,Corolla sport,,2022.0,87000.0,Hybride,,8,,,,,Particulier,Fès,,210000.0,1.0,
44866,https://www.wandaloo.com/occasion/renault-megane-diesel-occasion-rabat-maroc/44866.html,wandaloo,2026-09-08,2026-09-08 06:54:34,RENAULT Mégane,Renault,Mégane,,2017.0,132000.0,Diesel,,6,,,,,Particulier,Rabat,,165000.0,1.0,
44865,https://www.wandaloo.com/occasion/audi-q5-diesel-occasion-casablanca-maroc/44865.html,wandaloo,2026-09-08,2026-09-08 06:54:34,AUDI Q5,Audi,Q5,,2021.0,54000.0,Diesel,,8,,,,,Particulier,Casablanca,,387000.0,1.0,
43442,https://www.wandaloo.com/occasion/dodge-caliber-diesel-occasion-casablanca-maroc/43442.html,wandaloo,2026-09-08,2026-09-08 06:54:34,DODGE Caliber,Dodge,Caliber,,2007.0,295000.0,Diesel,,8,,,,,Particulier,Casablanca,,83000.0,1.0,
44864,https://www.wandaloo.com/occasion/land-rover-range-rover-sport-hybride-occasion-tanger-maroc/44864.html,wandaloo,2026-09-08,2026-09-08 06:54:34,LAND ROVER Range Rover Sport,Land,Rover range rover sport,,2023.0,100000.0,Hybride,,12,,,,,Particulier,Tanger,,600000.0,1.0,
44863,https://www.wandaloo.com/occasion/bmw-serie-5-diesel-occasion-el-jadida-maroc/44863.html,wandaloo,2026-09-08,2026-09-08 06:54:34,BMW Série 5,Bmw,Série 5,,2019.0,127700.0,Diesel,,8,,,,,Particulier,El Jadida,,315000.0,1.0,
44862,https://www.wandaloo.com/occasion/peugeot-208-diesel-occasion-berkane-maroc/44862.html,wandaloo,2026-09-08,2026-09-08 06:54:34,PEUGEOT 208,Peugeot,208,,2015.0,113600.0,Diesel,,6,,,,,Particulier,Berkane,,99500.0,1.0,
44860,https://www.wandaloo.com/occasion/renault-kadjar-diesel-occasion-fes-maroc/44860.html,wandaloo,2026-09-08,2026-09-08 06:54:34,RENAULT Kadjar,Renault,Kadjar,,2021.0,46000.0,Diesel,,6,,,,,Particulier,Fès,,230000.0,1.0,
44859,https://www.wandaloo.com/occasion/peugeot-208-diesel-occasion-tanger-maroc/44859.html,wandaloo,2026-09-08,2026-09-08 06:54:34,PEUGEOT 208,Peugeot,208,,2024.0,39000.0,Diesel,,6,,,,,Particulier,Tanger,,168000.0,1.0,
44261,https://www.wandaloo.com/occasion/mercedes-classe-a/44261.html,wandaloo,2026-09-08,2026-09-08 06:54:34,MERCEDES Classe A,Mercedes,Classe a,,2024.0,28000.0,Diesel,,8,,,,,Particulier,Rabat,,355000.0,1.0,
44858,https://www.wandaloo.com/occasion/jeep-grand-cherokee-diesel-occasion-casablanca-maroc/44858.html,wandaloo,2026-09-08,2026-09-08 06:54:34,JEEP Grand Cherokee,Jeep,Grand cherokee,,2014.0,155168.0,Diesel,,12,,,,,Particulier,Casablanca,,118000.0,1.0,
44857,https://www.wandaloo.com/occasion/ford-fiesta-diesel-occasion-beni-mellal-maroc/44857.html,wandaloo,2026-09-08,2026-09-08 06:54:34,FORD Fiesta,Ford,Fiesta,,2017.0,174332.0,Diesel,,6,,,,,Particulier,Beni Mellal,,110000.0,1.0,
44856,https://www.wandaloo.com/occasion/renault-kadjar-diesel-occasion-tanger-maroc/44856.html,wandaloo,2026-09-08,2026-09-08 06:54:34,RENAULT Kadjar,Renault,Kadjar,,2020.0,137000.0,Diesel,,6,,,,,Particulier,Tanger,,195000.0,1.0,
44854,https://www.wandaloo.com/occasion/bmw-serie-4-gran-coupe-diesel-occasion-kenitra-maroc/44854.html,wandaloo,2026-09-08,2026-09-08 06:54:35,BMW Série 4 Gran Coupé,Bmw,Série 4 gran coupé,,2016.0,240000.0,Diesel,,8,,,,,Particulier,Kénitra,,235000.0,1.0,
44821,https://www.wandaloo.com/occasion/volkswagen-golf-plus-diesel-occasion-marrakech-maroc/44821.html,wandaloo,2026-09-08,2026-09-08 06:54:35,VOLKSWAGEN Golf Plus,Volkswagen,Golf plus,,2007.0,300000.0,Diesel,,8,,,,,Particulier,Marrakech,,68000.0,1.0,
44851,https://www.wandaloo.com/occasion/citroen-c5-aircross-diesel-occasion-casablanca-maroc/44851.html,wandaloo,2026-09-08,2026-09-08 06:54:35,CITROËN C5 AirCross,Citroën,C5 aircross,,2025.0,22000.0,Diesel,,6,,,,,Particulier,Casablanca,,272000.0,1.0,
44852,https://www.wandaloo.com/occasion/volkswagen-taigun-diesel-occasion-meknes-maroc/44852.html,wandaloo,2026-09-08,2026-09-08 06:54:35,VOLKSWAGEN Tiguan,Volkswagen,Tiguan,,2016.0,117000.0,Diesel,,8,,,,,Particulier,Meknès,,175000.0,1.0,
44847,https://www.wandaloo.com/occasion/seat-arona-diesel-occasion-fes-maroc/44847.html,wandaloo,2026-09-08,2026-09-08 06:54:35,SEAT Arona,Seat,Arona,,2021.0,62206.0,Diesel,,6,,,,,Particulier,Fès,,175000.0,1.0,
44829,https://www.wandaloo.com/occasion/volvo-xc40-diesel-occasion-rabat-maroc/44829.html,wandaloo,2026-09-08,2026-09-08 06:54:35,VOLVO XC40,Volvo,Xc40,,2018.0,230000.0,Diesel,,8,,,,,Particulier,Rabat,,249000.0,1.0,
44183,https://www.wandaloo.com/occasion/citroen-c4-diesel-occasion-rabat-maroc/44183.html,wandaloo,2026-09-08,2026-09-08 06:54:35,CITROËN C4,Citroën,C4,,2017.0,200000.0,Diesel,,6,,,,,Particulier,Rabat,,130000.0,1.0,
44777,https://www.wandaloo.com/occasion/porsche-macan-essence-occasion-casablanca-maroc/44777.html,wandaloo,2026-09-08,2026-09-08 06:54:35,PORSCHE Macan,Porsche,Macan,,2023.0,13500.0,Essence,,,,,,,Particulier,Casablanca,,580000.0,1.0,
44776,https://www.wandaloo.com/occasion/audi-a4-diesel-occasion-temara-maroc/44776.html,wandaloo,2026-09-08,2026-09-08 06:54:36,AUDI A4,Audi,A4,,2014.0,164000.0,Diesel,,8,,,,,Particulier,Témara,,145000.0,1.0,
44845,https://www.wandaloo.com/occasion/audi-a5-sportback-diesel-occasion-casablanca-maroc/44845.html,wandaloo,2026-09-08,2026-09-08 06:54:36,AUDI A5 SportBack,Audi,A5 sportback,,2010.0,542091.0,Diesel,,8,,,,,Particulier,Casablanca,,79000.0,1.0,
44844,https://www.wandaloo.com/occasion/ford-focus-diesel-occasion-fes-maroc/44844.html,wandaloo,2026-09-08,2026-09-08 06:54:36,FORD Focus,Ford,Focus,,2009.0,230000.0,Diesel,,6,,,,,Particulier,Fès,,90000.0,1.0,
44839,https://www.wandaloo.com/occasion/bmw-serie-2-gran-coupe-diesel-occasion-casablanca-maroc/44839.html,wandaloo,2026-09-08,2026-09-08 06:54:36,BMW Série 2 Gran Coupé,Bmw,Série 2 gran coupé,,2021.0,41700.0,Diesel,,6,,,,,Particulier,Casablanca,,370000.0,1.0,
44834,https://www.wandaloo.com/occasion/mercedes-glc-diesel-occasion-el-jadida-maroc/44834.html,wandaloo,2026-09-08,2026-09-08 06:54:36,MERCEDES GLC,Mercedes,Glc,,2019.0,212000.0,Diesel,,8,,,,,Particulier,El Jadida,,320000.0,1.0,
